,owners
6160,100000-200000
14879,20000-50000
46542,0-20000
52091,0-20000
27742,0-20000
29742,0-20000
12094,20000-50000
51882,0-20000
56086,0-20000
6494,100000-200000
35131,0-20000
7059,50000-100000
42425,0-20000
17683,20000-50000
18062,20000-50000
50057,0-20000
9259,50000-100000
41826,0-20000
19547,0-20000
20093,0-20000
11687,20000-50000
36403,0-20000
55755,0-20000
14466,20000-50000
54174,0-20000
10108,50000-100000
2168,200000-500000
11117,20000-50000
3987,200000-500000
48238,0-20000
14132,20000-50000
15077,0-20000
39005,0-20000
42768,0-20000
33734,0-20000
9719,50000-100000
57974,0-20000
23155,0-20000
44467,0-20000
20754,0-20000
10676,20000-50000
36862,0-20000
16136,20000-50000
35416,0-20000
20823,0-20000
57721,0-20000
46193,0-20000
12839,20000-50000
37160,0-20000
15271,20000-50000
51581,0-20000
56746,0-20000
8956,50000-100000
27470,0-20000
51048,0-20000
26475,0-20000
35746,0-20000
42204,0-20000
41433,0-20000
29014,0-20000
55311,0-20000
7371,50000-100000
25811,0-20000
34479,0-20000
23606,0-20000
45153,0-20000
17655,20000-50000
42266,0-20000
6929,50000-100000
41606,0-20000
49599,0-20000
14546,20000-50000
56757,0-20000
54639,0-20000
18816,0-20000
10939,20000-50000
13465,20000-50000
24735,0-20000
54604,0-20000
30812,0-20000
53883,0-20000
50551,0-20000
28559,0-20000
16898,20000-50000
33359,0-20000
21665,0-20000
14663,20000-50000
6013,100000-200000
12742,20000-50000
50746,0-20000
54092,0-20000
11056,20000-50000
19206,0-20000
40465,0-20000
4111,100000-200000
32173,0-20000
40478,0-20000
18635,0-20000
5759,100000-200000
41208,0-20000
48602,0-20000
9692,50000-100000
47278,0-20000
11136,20000-50000
29196,0-20000
26132,0-20000
18637,0-20000
57585,0-20000
32048,0-20000
27080,0-20000
11489,20000-50000
10032,50000-100000
21766,0-20000
47035,0-20000
7566,50000-100000
42131,0-20000
26380,0-20000
42371,0-20000
19210,0-20000
58233,0-20000
54278,0-20000
22173,0-20000
43425,0-20000
29179,0-20000
28700,0-20000
31490,0-20000
9017,50000-100000
2681,200000-500000
38877,0-20000
46616,0-20000
33545,0-20000
55552,0-20000
16661,20000-50000
54573,0-20000
32305,0-20000
32757,0-20000
43079,0-20000
43767,0-20000
22726,0-20000
6420,100000-200000
36161,0-20000
12515,20000-50000
56689,0-20000
40070,0-20000
40082,0-20000
30942,0-20000
35447,0-20000
25708,0-20000
50879,0-20000
3270,200000-500000
1929,500000-1000000
34206,0-20000
25268,0-20000
6867,50000-100000
35193,0-20000
35164,0-20000
51396,0-20000
972,>1000000
7563,50000-100000
13874,20000-50000
7842,50000-100000
52269,0-20000
49312,0-20000
28050,0-20000
38205,0-20000
14482,20000-50000
24986,0-20000
4200,100000-200000
32758,0-20000
7964,50000-100000
17896,20000-50000
18559,0-20000
42975,0-20000
13152,20000-50000
17031,20000-50000
33568,0-20000
50421,0-20000
44089,0-20000
25280,0-20000
26708,0-20000
51722,0-20000
15565,20000-50000
43297,0-20000
51987,0-20000
9512,50000-100000
52123,0-20000
15419,20000-50000
55807,0-20000
43556,0-20000
57920,0-20000
25242,0-20000
17680,20000-50000
18612,0-20000
11567,20000-50000
18807,0-20000
46059,0-20000
43566,0-20000
50728,0-20000
15448,20000-50000
47797,0-20000
25057,0-20000
35523,0-20000
13347,20000-50000
25324,0-20000
34429,0-20000
15919,20000-50000
39372,0-20000
5607,20000-50000
16101,20000-50000
34710,0-20000
53110,0-20000
26466,0-20000
21678,0-20000
42558,0-20000
49015,0-20000
5752,100000-200000
1180,500000-1000000
31502,0-20000
44307,0-20000
28976,0-20000
5803,100000-200000
42053,0-20000
56502,0-20000
43872,0-20000
39654,0-20000
2445,200000-500000
14744,20000-50000
50443,0-20000
12060,20000-50000
23070,0-20000
32075,0-20000
5629,100000-200000
9025,50000-100000
2257,200000-500000
30005,0-20000
49833,0-20000
18763,0-20000
20422,0-20000
8221,50000-100000
39308,0-20000
8337,50000-100000
42196,0-20000
31493,0-20000
30410,0-20000
10475,50000-100000
37048,0-20000
30451,0-20000
8143,50000-100000
7647,50000-100000
15627,20000-50000
39125,0-20000
23237,0-20000
16230,20000-50000
9830,50000-100000
38357,0-20000
16508,20000-50000
32893,0-20000
24502,0-20000
51730,0-20000
38468,0-20000
54159,0-20000
33313,0-20000
10286,50000-100000
6443,100000-200000
56773,0-20000
17227,20000-50000
55725,0-20000
6804,50000-100000
21825,0-20000
6825,50000-100000
28839,0-20000
18305,20000-50000
30470,0-20000
30230,0-20000
16301,20000-50000
56814,0-20000
32772,0-20000
27880,0-20000
22446,0-20000
48896,0-20000
51359,0-20000
46284,0-20000
3211,200000-500000
23982,0-20000
4619,100000-200000
1336,500000-1000000
13809,20000-50000
5998,100000-200000
4655,100000-200000
51303,0-20000
15084,0-20000
13109,20000-50000
49301,0-20000
35163,0-20000
33582,0-20000
4749,100000-200000
56843,0-20000
53255,0-20000
13232,20000-50000
40893,0-20000
29437,20000-50000
37794,0-20000
6769,50000-100000
4773,100000-200000
30157,0-20000
13625,20000-50000
38999,0-20000
48753,0-20000
11845,20000-50000
42526,0-20000
22053,0-20000
38262,0-20000
36804,0-20000
22550,0-20000
51406,0-20000
14657,20000-50000
43215,0-20000
18829,0-20000
40292,0-20000
14248,20000-50000
16232,20000-50000
27042,0-20000
56915,20000-50000
52127,0-20000
55239,0-20000
14681,20000-50000
33884,0-20000
49087,0-20000
23102,0-20000
42629,0-20000
52203,0-20000
12144,20000-50000
52719,0-20000
35963,0-20000
6777,50000-100000
51978,0-20000
55626,0-20000
42938,0-20000
24359,0-20000
33432,0-20000
28444,0-20000
20874,0-20000
17540,20000-50000
20561,0-20000
40490,0-20000
46164,0-20000
51028,0-20000
48415,0-20000
42739,0-20000
26222,0-20000
40464,0-20000
54538,0-20000
50771,0-20000
39469,0-20000
31500,0-20000
44905,0-20000
46392,0-20000
53453,0-20000
36706,0-20000
28040,0-20000
29632,0-20000
42818,0-20000
29804,0-20000
28931,0-20000
6108,100000-200000
54923,0-20000
57924,0-20000
53069,0-20000
14382,20000-50000
16577,20000-50000
28077,0-20000
10672,20000-50000
16937,20000-50000
36039,0-20000
369,>1000000
24151,0-20000
39553,0-20000
36864,0-20000
30698,0-20000
2594,200000-500000
15364,20000-50000
24497,0-20000
26122,0-20000
12990,20000-50000
31810,0-20000
27659,0-20000
26655,0-20000
36621,0-20000
46439,0-20000
1468,500000-1000000
50533,0-20000
2542,200000-500000
51980,0-20000
35690,0-20000
38094,0-20000
25848,0-20000
29314,0-20000
41738,0-20000
618,>1000000
46529,0-20000
48187,0-20000
33440,0-20000
54939,0-20000
6612,100000-200000
25099,0-20000
39483,0-20000
22387,0-20000
38645,0-20000
27712,0-20000
6145,100000-200000
38584,0-20000
52018,0-20000
30341,0-20000
49697,0-20000
42616,0-20000
19459,0-20000
55868,0-20000
7538,50000-100000
4225,100000-200000
14258,20000-50000
15298,20000-50000
29307,0-20000
55663,0-20000
14862,20000-50000
23825,0-20000
35202,0-20000
42420,0-20000
23259,0-20000
45569,0-20000
53561,0-20000
1004,>1000000
25969,0-20000
32189,0-20000
22314,0-20000
20535,0-20000
30429,0-20000
27501,0-20000
23650,0-20000
43188,0-20000
32221,0-20000
33107,0-20000
10431,50000-100000
10402,50000-100000
46500,0-20000
5018,100000-200000
42206,0-20000
17798,20000-50000
35488,0-20000
50979,0-20000
22112,0-20000
24860,0-20000
52743,0-20000
49511,0-20000
35798,0-20000
888,>1000000
29747,0-20000
1877,500000-1000000
4006,200000-500000
54589,0-20000
50310,0-20000
34585,0-20000
46376,0-20000
41683,0-20000
47021,0-20000
46989,0-20000
22713,0-20000
37427,0-20000
20593,0-20000
9428,50000-100000
47618,0-20000
20441,0-20000
48199,0-20000
688,>1000000
54316,0-20000
5987,100000-200000
25225,0-20000
51580,0-20000
56302,0-20000
8511,50000-100000
27063,0-20000
41915,0-20000
32085,0-20000
12688,20000-50000
22369,0-20000
17450,20000-50000
49935,0-20000
55401,0-20000
50080,0-20000
38341,0-20000
52339,0-20000
24724,0-20000
35516,0-20000
16982,20000-50000
35241,0-20000
14063,20000-50000
48709,0-20000
47211,0-20000
15081,20000-50000
14770,20000-50000
52976,0-20000
7869,50000-100000
10383,50000-100000
35937,0-20000
57828,0-20000
40922,0-20000
14465,20000-50000
38298,0-20000
49095,0-20000
31316,0-20000
30472,0-20000
5161,100000-200000
47586,0-20000
52661,0-20000
33818,0-20000
9528,50000-100000
2231,200000-500000
36337,0-20000
15757,20000-50000
55570,0-20000
1699,500000-1000000
37116,0-20000
3686,200000-500000
23692,0-20000
37337,0-20000
28189,0-20000
51426,0-20000
46507,0-20000
37701,0-20000
51514,0-20000
7612,50000-100000
43659,0-20000
24139,0-20000
49707,0-20000
35315,0-20000
20509,0-20000
45029,0-20000
35009,0-20000
49934,0-20000
21667,0-20000
37018,0-20000
38425,0-20000
35282,0-20000
21701,0-20000
32936,0-20000
26688,0-20000
9060,50000-100000
9126,50000-100000
28350,0-20000
35359,0-20000
4176,100000-200000
3621,200000-500000
33794,0-20000
37146,0-20000
35954,0-20000
34935,0-20000
54829,0-20000
31963,0-20000
45662,0-20000
21890,0-20000
7024,50000-100000
34050,0-20000
53798,0-20000
57551,0-20000
10825,20000-50000
13917,20000-50000
20761,0-20000
15155,20000-50000
31920,0-20000
44962,0-20000
50018,0-20000
43871,0-20000
14267,20000-50000
28566,0-20000
48390,0-20000
14147,20000-50000
47154,0-20000
19965,0-20000
57155,0-20000
50068,0-20000
55879,0-20000
43874,0-20000
2078,200000-500000
28464,0-20000
33058,0-20000
24764,0-20000
32960,0-20000
49307,0-20000
23366,0-20000
5337,100000-200000
27001,0-20000
25837,0-20000
34396,0-20000
37775,0-20000
41821,0-20000
35831,0-20000
42816,0-20000
11568,20000-50000
56132,0-20000
58801,0-20000
23420,0-20000
25192,0-20000
14470,20000-50000
16579,20000-50000
46541,0-20000
35355,0-20000
18201,20000-50000
33303,0-20000
5527,100000-200000
50510,0-20000
43287,0-20000
36361,0-20000
56077,0-20000
41381,0-20000
37768,0-20000
39660,0-20000
16197,20000-50000
19953,0-20000
25851,0-20000
1673,500000-1000000
21136,20000-50000
37072,0-20000
4045,100000-200000
58315,0-20000
19041,0-20000
27655,0-20000
54896,0-20000
34920,0-20000
38816,0-20000
37317,0-20000
58688,0-20000
58148,0-20000
18653,0-20000
8996,50000-100000
33049,0-20000
1872,200000-500000
20134,0-20000
31880,0-20000
42658,0-20000
23484,0-20000
5336,100000-200000
3570,200000-500000
38428,0-20000
51991,0-20000
47363,0-20000
50157,0-20000
58954,0-20000
46428,0-20000
36081,0-20000
53073,0-20000
7080,50000-100000
30459,0-20000
55873,0-20000
22505,0-20000
33210,0-20000
46757,0-20000
11332,20000-50000
44859,0-20000
10066,50000-100000
18079,20000-50000
15994,20000-50000
42455,0-20000
2256,200000-500000
14357,20000-50000
37401,0-20000
54057,0-20000
20212,0-20000
5847,100000-200000
47129,0-20000
28728,0-20000
17689,20000-50000
36202,0-20000
19889,0-20000
50759,0-20000
39716,0-20000
53811,0-20000
13624,20000-50000
34230,0-20000
38017,0-20000
41790,0-20000
25230,0-20000
48456,0-20000
58257,0-20000
35427,0-20000
21919,0-20000
24490,0-20000
51049,0-20000
42741,0-20000
42383,0-20000
50554,0-20000
22883,0-20000
20837,0-20000
50913,0-20000
55209,0-20000
39417,0-20000
51677,0-20000
35041,0-20000
14666,20000-50000
3485,200000-500000
31201,0-20000
27366,0-20000
16809,20000-50000
9785,50000-100000
29748,0-20000
5671,0-20000
47072,0-20000
30744,0-20000
18160,20000-50000
24402,0-20000
50259,0-20000
57113,0-20000
54152,0-20000
51228,0-20000
53002,0-20000
26310,0-20000
31970,0-20000
45980,0-20000
28206,0-20000
47241,0-20000
33747,0-20000
9637,50000-100000
48776,0-20000
55811,0-20000
30935,0-20000
4248,100000-200000
14822,20000-50000
38981,0-20000
50107,0-20000
17271,20000-50000
46764,0-20000
27607,0-20000
3635,200000-500000
24127,20000-50000
45704,0-20000
11947,20000-50000
35569,0-20000
40471,0-20000
56156,0-20000
20185,0-20000
14729,20000-50000
50343,0-20000
14644,20000-50000
35420,0-20000
26087,0-20000
55656,0-20000
50794,0-20000
26545,0-20000
42557,0-20000
18231,20000-50000
29554,0-20000
52514,0-20000
55507,0-20000
6168,100000-200000
31167,0-20000
57254,0-20000
38715,0-20000
15696,20000-50000
46099,0-20000
52923,0-20000
25342,0-20000
49188,0-20000
57005,0-20000
22827,0-20000
43969,0-20000
17041,20000-50000
18291,20000-50000
31475,0-20000
4399,100000-200000
56390,0-20000
35284,0-20000
27779,0-20000
7365,50000-100000
29633,0-20000
22236,0-20000
19462,0-20000
38903,0-20000
38237,0-20000
46348,0-20000
45447,0-20000
28578,0-20000
12634,20000-50000
33490,0-20000
22719,0-20000
21084,0-20000
37217,0-20000
53643,0-20000
54562,0-20000
1369,500000-1000000
5769,100000-200000
54732,0-20000
10695,20000-50000
25012,0-20000
15303,20000-50000
45030,0-20000
32610,0-20000
42631,0-20000
28644,0-20000
8112,50000-100000
17853,20000-50000
7581,50000-100000
56295,0-20000
40961,0-20000
14082,20000-50000
51449,0-20000
48964,0-20000
47593,0-20000
48735,0-20000
52576,0-20000
2403,200000-500000
7325,50000-100000
42180,0-20000
38849,0-20000
46056,0-20000
29573,0-20000
5422,100000-200000
18817,0-20000
43148,0-20000
9779,50000-100000
31164,0-20000
42133,0-20000
10161,50000-100000
18859,0-20000
46819,0-20000
16231,20000-50000
25815,0-20000
20267,0-20000
55951,0-20000
47785,0-20000
42667,0-20000
45116,0-20000
23545,0-20000
10544,20000-50000
42999,0-20000
50946,0-20000
11395,>1000000
58887,0-20000
8142,50000-100000
49294,0-20000
39056,0-20000
48366,0-20000
11848,20000-50000
43050,0-20000
19130,0-20000
5545,100000-200000
49125,0-20000
38965,0-20000
10800,20000-50000
24769,0-20000
45644,0-20000
5290,100000-200000
2207,200000-500000
5643,100000-200000
372,>1000000
15544,20000-50000
42607,0-20000
48490,0-20000
5278,100000-200000
33735,0-20000
23932,0-20000
46120,0-20000
11543,20000-50000
56527,0-20000
8712,50000-100000
28465,0-20000
42608,0-20000
29671,0-20000
12806,20000-50000
35752,0-20000
16052,20000-50000
19325,0-20000
13913,20000-50000
27046,0-20000
37690,0-20000
54570,0-20000
50214,0-20000
27836,0-20000
31569,0-20000
14589,20000-50000
51628,0-20000
25226,0-20000
5315,100000-200000
17431,20000-50000
23027,0-20000
50775,0-20000
31516,0-20000
17137,20000-50000
40421,0-20000
19879,0-20000
14337,20000-50000
3776,200000-500000
9095,50000-100000
26213,0-20000
3465,200000-500000
47062,0-20000
27594,0-20000
7118,50000-100000
32336,0-20000
39963,0-20000
22246,0-20000
30540,0-20000
40783,0-20000
25104,0-20000
855,>1000000
53020,0-20000
55614,0-20000
25126,0-20000
4007,200000-500000
21601,0-20000
36707,0-20000
18110,20000-50000
33189,0-20000
51440,0-20000
27522,0-20000
34236,0-20000
30330,0-20000
19680,0-20000
45897,0-20000
22342,0-20000
1556,500000-1000000
55456,0-20000
11224,20000-50000
19476,0-20000
39677,0-20000
41898,0-20000
53441,0-20000
11137,20000-50000
6936,50000-100000
14530,20000-50000
24893,0-20000
14813,20000-50000
33660,0-20000
52379,0-20000
51754,0-20000
6778,50000-100000
3565,200000-500000
17501,20000-50000
36963,0-20000
36976,0-20000
45693,0-20000
24877,0-20000
50325,0-20000
18093,20000-50000
41990,0-20000
38503,0-20000
5771,100000-200000
55685,0-20000
23738,0-20000
2069,200000-500000
20232,0-20000
3953,200000-500000
28493,0-20000
12404,20000-50000
51454,0-20000
11882,20000-50000
55779,0-20000
5294,100000-200000
48088,0-20000
17421,20000-50000
13880,20000-50000
37112,0-20000
49696,0-20000
32566,0-20000
29258,0-20000
18158,20000-50000
27066,0-20000
50595,0-20000
23191,0-20000
6416,50000-100000
29250,0-20000
49379,0-20000
24283,0-20000
18581,0-20000
27909,0-20000
17697,20000-50000
50720,0-20000
50429,0-20000
13655,20000-50000
8830,50000-100000
12011,20000-50000
19649,0-20000
55826,0-20000
54857,0-20000
28783,0-20000
25873,0-20000
43630,0-20000
25946,0-20000
24207,0-20000
19979,20000-50000
46770,0-20000
54443,0-20000
28803,0-20000
19052,0-20000
39389,0-20000
48854,0-20000
50962,0-20000
7578,50000-100000
12367,20000-50000
43748,0-20000
10097,50000-100000
7564,50000-100000
27756,0-20000
40042,0-20000
2203,200000-500000
43037,0-20000
29282,0-20000
39451,0-20000
43565,0-20000
46246,0-20000
2913,200000-500000
17631,20000-50000
49181,0-20000
30358,0-20000
4862,100000-200000
39016,0-20000
16627,20000-50000
839,>1000000
6203,100000-200000
6628,100000-200000
2062,200000-500000
58401,0-20000
26210,0-20000
31878,0-20000
29918,0-20000
54886,0-20000
41696,0-20000
55437,0-20000
22559,0-20000
6786,50000-100000
3141,200000-500000
41024,0-20000
15622,20000-50000
56117,0-20000
54656,0-20000
21749,0-20000
51097,0-20000
32794,0-20000
45105,0-20000
23666,0-20000
46177,0-20000
11946,20000-50000
45478,0-20000
52669,0-20000
22925,0-20000
27714,0-20000
8512,50000-100000
6335,100000-200000
52458,0-20000
50891,0-20000
39299,0-20000
22763,0-20000
17337,20000-50000
30232,0-20000
31116,0-20000
48730,0-20000
18690,0-20000
44397,0-20000
43,>1000000
5534,100000-200000
16157,20000-50000
9269,50000-100000
52609,0-20000
33755,0-20000
40959,0-20000
54426,0-20000
24509,0-20000
58056,0-20000
58901,0-20000
18261,20000-50000
38275,0-20000
15539,20000-50000
44241,0-20000
40883,0-20000
5737,100000-200000
25108,0-20000
3632,200000-500000
46145,0-20000
5975,100000-200000
35651,0-20000
26217,0-20000
50092,0-20000
7813,50000-100000
45195,0-20000
51126,0-20000
39323,0-20000
2835,200000-500000
11897,20000-50000
18536,0-20000
4486,50000-100000
9936,50000-100000
1074,500000-1000000
25756,0-20000
24656,0-20000
29756,0-20000
14837,20000-50000
514,>1000000
48010,0-20000
53415,0-20000
45088,0-20000
27177,0-20000
34302,0-20000
5965,100000-200000
3946,200000-500000
43359,0-20000
13495,20000-50000
46955,0-20000
14640,0-20000
57147,0-20000
21532,0-20000
13094,20000-50000
54664,0-20000
29829,0-20000
51429,0-20000
15932,20000-50000
33118,0-20000
54984,0-20000
54200,0-20000
15528,20000-50000
50182,0-20000
57794,0-20000
15109,20000-50000
6132,100000-200000
37679,0-20000
15779,20000-50000
14901,20000-50000
54257,0-20000
14274,20000-50000
34067,0-20000
36521,0-20000
46750,0-20000
15811,20000-50000
12543,20000-50000
55770,0-20000
23698,0-20000
50111,0-20000
5820,100000-200000
15034,20000-50000
52363,0-20000
9230,20000-50000
14326,20000-50000
29170,0-20000
20586,0-20000
39450,0-20000
33128,0-20000
36613,0-20000
2265,200000-500000
43274,0-20000
274,>1000000
13991,20000-50000
43721,0-20000
15634,20000-50000
44574,0-20000
20150,0-20000
24999,0-20000
27928,0-20000
41438,0-20000
47030,0-20000
37176,0-20000
5077,100000-200000
36296,0-20000
45928,0-20000
19184,0-20000
7769,50000-100000
15840,20000-50000
14758,20000-50000
7337,50000-100000
58560,0-20000
5449,100000-200000
16584,20000-50000
47883,0-20000
48485,0-20000
23495,0-20000
35983,0-20000
22339,0-20000
41654,0-20000
11540,20000-50000
44931,0-20000
6567,100000-200000
14648,20000-50000
42530,0-20000
37062,0-20000
25584,0-20000
55172,0-20000
46991,0-20000
49285,0-20000
17124,20000-50000
9851,20000-50000
4396,100000-200000
44426,0-20000
22037,0-20000
37909,0-20000
29729,0-20000
38217,0-20000
9206,50000-100000
26665,0-20000
57670,0-20000
52047,0-20000
21504,0-20000
4755,100000-200000
42203,0-20000
31074,0-20000
44996,0-20000
51954,0-20000
1463,500000-1000000
54032,0-20000
41568,0-20000
52065,0-20000
47197,0-20000
2689,200000-500000
37578,0-20000
22927,0-20000
25248,0-20000
56489,0-20000
38804,0-20000
18544,0-20000
16939,20000-50000
57188,0-20000
54834,0-20000
16693,20000-50000
39006,0-20000
58578,0-20000
20294,0-20000
50265,0-20000
18080,20000-50000
22108,0-20000
25020,0-20000
58208,0-20000
35859,0-20000
1518,500000-1000000
38469,0-20000
22982,0-20000
13900,20000-50000
48075,0-20000
30785,0-20000
8718,50000-100000
20796,0-20000
55547,0-20000
56187,0-20000
2599,200000-500000
24394,0-20000
6942,50000-100000
13389,20000-50000
29157,0-20000
19881,0-20000
36100,0-20000
30368,0-20000
49979,0-20000
21320,0-20000
754,>1000000
55098,0-20000
47578,0-20000
35504,0-20000
18840,0-20000
22955,0-20000
3240,200000-500000
34516,0-20000
25690,0-20000
48355,0-20000
36769,0-20000
35907,0-20000
45436,0-20000
12582,20000-50000
48061,0-20000
19464,0-20000
20971,0-20000
54054,0-20000
58509,0-20000
14913,20000-50000
1363,500000-1000000
25129,0-20000
2121,200000-500000
43114,0-20000
23939,0-20000
27210,0-20000
29242,0-20000
31859,0-20000
22854,0-20000
32624,0-20000
28328,0-20000
27882,0-20000
49391,0-20000
37914,0-20000
30861,0-20000
57984,0-20000
37043,0-20000
57354,0-20000
9708,50000-100000
37594,0-20000
22485,0-20000
5532,100000-200000
6336,100000-200000
32764,0-20000
49201,0-20000
11220,20000-50000
38431,0-20000
2110,200000-500000
11447,20000-50000
16497,20000-50000
19658,0-20000
17656,20000-50000
47479,0-20000
50289,0-20000
39423,0-20000
6154,50000-100000
50153,0-20000
46297,0-20000
12887,20000-50000
7893,50000-100000
21827,0-20000
14161,20000-50000
58888,0-20000
25478,0-20000
49031,0-20000
38989,0-20000
22295,0-20000
26037,0-20000
30983,0-20000
56070,0-20000
2804,200000-500000
18521,0-20000
12075,20000-50000
8944,200000-500000
1173,500000-1000000
1566,200000-500000
39003,0-20000
25375,0-20000
41622,0-20000
37242,0-20000
30421,0-20000
35269,0-20000
16826,20000-50000
13208,20000-50000
32585,0-20000
21520,0-20000
33605,0-20000
3180,200000-500000
39525,0-20000
57011,0-20000
39460,0-20000
56510,0-20000
24121,0-20000
47361,0-20000
14343,20000-50000
29069,0-20000
18026,20000-50000
42804,0-20000
7384,50000-100000
25238,0-20000
16239,20000-50000
10628,20000-50000
49513,0-20000
43300,0-20000
7441,50000-100000
14625,20000-50000
28452,0-20000
17398,20000-50000
9650,50000-100000
18248,20000-50000
41075,0-20000
54220,0-20000
4955,100000-200000
3321,200000-500000
6595,100000-200000
24076,0-20000
11969,20000-50000
28128,0-20000
18365,0-20000
33005,0-20000
34240,0-20000
37703,0-20000
2039,200000-500000
12181,20000-50000
39327,0-20000
45122,0-20000
9254,50000-100000
411,>1000000
29949,0-20000
13813,20000-50000
25586,0-20000
48176,0-20000
41192,0-20000
23861,0-20000
33990,0-20000
10089,50000-100000
27227,0-20000
53484,0-20000
51208,0-20000
46824,0-20000
31857,0-20000
37954,0-20000
2472,200000-500000
47150,0-20000
36367,0-20000
13447,20000-50000
51593,0-20000
28093,0-20000
10204,50000-100000
6511,100000-200000
35664,0-20000
58639,0-20000
51873,0-20000
15005,20000-50000
53606,0-20000
30268,0-20000
15691,20000-50000
44476,0-20000
44376,0-20000
57626,0-20000
44790,0-20000
53104,0-20000
22867,0-20000
28986,0-20000
52493,0-20000
54790,0-20000
53291,0-20000
25340,0-20000
2696,200000-500000
30578,0-20000
20732,20000-50000
40935,0-20000
21294,0-20000
53645,0-20000
27103,0-20000
4142,100000-200000
18410,0-20000
57768,0-20000
18190,20000-50000
13819,20000-50000
32296,0-20000
40149,0-20000
14926,20000-50000
51804,0-20000
47179,0-20000
36003,0-20000
54271,0-20000
32938,0-20000
13074,20000-50000
6301,100000-200000
13719,20000-50000
2294,200000-500000
45612,0-20000
14446,20000-50000
57776,0-20000
57451,0-20000
28523,0-20000
7758,50000-100000
1948,200000-500000
33940,0-20000
7973,50000-100000
34361,0-20000
32227,0-20000
47577,0-20000
51919,0-20000
38363,0-20000
13527,20000-50000
29672,0-20000
5289,100000-200000
38112,0-20000
46801,0-20000
3287,200000-500000
34513,0-20000
47358,0-20000
15658,20000-50000
43619,0-20000
10284,50000-100000
44935,0-20000
17584,20000-50000
37646,0-20000
15726,50000-100000
4319,100000-200000
10320,50000-100000
40268,0-20000
38702,0-20000
45659,0-20000
22488,0-20000
37377,0-20000
51783,0-20000
10330,20000-50000
2538,200000-500000
10700,20000-50000
374,>1000000
22993,0-20000
28260,0-20000
32658,0-20000
21998,0-20000
48265,0-20000
38517,0-20000
46512,0-20000
13783,20000-50000
40414,0-20000
12023,20000-50000
18839,0-20000
37152,0-20000
23307,0-20000
23796,0-20000
32191,0-20000
11166,50000-100000
16088,20000-50000
38707,0-20000
9039,50000-100000
18806,0-20000
32710,0-20000
35455,0-20000
21966,0-20000
37880,0-20000
44945,0-20000
7765,20000-50000
29453,0-20000
19323,0-20000
40903,0-20000
39979,0-20000
3169,200000-500000
12036,20000-50000
13858,20000-50000
48593,0-20000
57602,0-20000
55187,0-20000
51052,0-20000
8465,50000-100000
26555,0-20000
34120,0-20000
15463,50000-100000
49449,0-20000
1725,500000-1000000
27376,0-20000
9023,50000-100000
48673,0-20000
22454,0-20000
37656,0-20000
57725,0-20000
52574,0-20000
52378,0-20000
12446,20000-50000
57183,0-20000
21022,0-20000
23699,0-20000
16172,20000-50000
47408,0-20000
52336,0-20000
40576,0-20000
30589,0-20000
8390,50000-100000
42056,0-20000
6027,100000-200000
56895,0-20000
30278,0-20000
17834,20000-50000
43191,0-20000
32061,0-20000
36971,0-20000
17664,20000-50000
58005,0-20000
39195,0-20000
3354,200000-500000
34965,0-20000
22209,0-20000
4898,100000-200000
35948,0-20000
38069,0-20000
21437,0-20000
35951,0-20000
55527,0-20000
47692,0-20000
13381,20000-50000
49009,0-20000
55407,0-20000
16005,20000-50000
44628,0-20000
24625,0-20000
33413,0-20000
25438,0-20000
44442,0-20000
30982,0-20000
56802,0-20000
40719,0-20000
48649,0-20000
6835,50000-100000
2006,200000-500000
31790,0-20000
35206,0-20000
49450,0-20000
15241,20000-50000
51920,0-20000
9297,50000-100000
10435,50000-100000
32126,0-20000
1461,500000-1000000
38851,0-20000
51627,0-20000
10513,50000-100000
17914,20000-50000
19629,0-20000
14191,20000-50000
42801,0-20000
25962,0-20000
50270,0-20000
46864,0-20000
55982,0-20000
24316,0-20000
5698,100000-200000
16541,20000-50000
37007,0-20000
1999,200000-500000
50210,0-20000
19518,0-20000
31496,0-20000
35349,0-20000
9866,50000-100000
28269,0-20000
56010,0-20000
50042,0-20000
8483,50000-100000
19103,0-20000
45715,0-20000
43792,0-20000
22538,0-20000
9733,50000-100000
42891,0-20000
50216,0-20000
20727,0-20000
5492,100000-200000
26996,0-20000
35564,0-20000
27261,0-20000
7009,50000-100000
51924,0-20000
6764,50000-100000
16475,20000-50000
5776,100000-200000
57368,0-20000
40461,0-20000
43903,0-20000
4778,100000-200000
18435,0-20000
22869,0-20000
22512,0-20000
48193,0-20000
35901,0-20000
25810,0-20000
30479,0-20000
3245,200000-500000
48112,0-20000
46336,0-20000
46702,0-20000
57283,0-20000
12463,20000-50000
36928,0-20000
25121,0-20000
47976,0-20000
41697,0-20000
37123,0-20000
48691,0-20000
57658,0-20000
24574,0-20000
56329,0-20000
20312,0-20000
44127,0-20000
15090,20000-50000
36837,0-20000
5137,100000-200000
26151,0-20000
25615,0-20000
25120,0-20000
37238,0-20000
13686,20000-50000
54041,0-20000
7377,50000-100000
44468,0-20000
1714,500000-1000000
50000,0-20000
8038,50000-100000
22947,0-20000
23944,0-20000
32252,0-20000
25916,0-20000
10917,20000-50000
40389,0-20000
57714,0-20000
52930,0-20000
38149,0-20000
44608,0-20000
52374,0-20000
4650,100000-200000
38846,0-20000
24390,0-20000
36146,0-20000
4692,100000-200000
12869,20000-50000
4528,100000-200000
